CRITFC Last Action	Assay	Panel Origin	Presumed Type	Source	CRITFC Comment	Tasha Comments	UWR	Rogue
Active Panel	Omy_OmyP9-180	GSI	Neutral	Campbell et al. 2009	Keep as 4X Read hog	none	Yes	Yes
Active Panel	Omy_inos-97	GSI	Neutral	DeKoning unpublished. WSU	none	none	Yes	Fixed
Active Panel	Omy_RAD40520-48	 	Adaptive. Natal Site annual precipitation. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Poor GT% in Coastal Pops	none	Failed QC	Failed QC
Active Panel	M09AAC.055	GSI	Neutral	Young unpublished	none	none	Failed QC	Failed QC
Active Panel	OMS00070	PBT	Neutral	Sánchez et al. 2009	4th cluster in coastal populations	none	Failed QC	Yes
Active Panel	Omy_gadd45-332	GSI	Neutral	Campbell unpublished	none	none	Fixed	Yes
Active Panel	Omy_RAD35149-9	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_G3PD_2.246	WDFW	Neutral	Young unpublished	none	none	Yes	Yes
Active Panel	M09AAE.082	PBT	Neutral	Young unpublished	none	none	Yes	Yes
Active Panel	Omy_RAD40641-58	MGILCS	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD60135-12	 	Adaptive. Migration Distance to Ocean. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_118175-396	WDFW	Neutral	Abadía-Cardoso et al. 2011	none	none	Fixed	Yes
Active Panel	Omy_nkef-241	PBT	Neutral	Campbell et al. 2009	none	none	Yes	Yes
Active Panel	Omy_105385-406	PBT	Neutral	Abadía-Cardoso et al. 2011	Minor 4th cluster in Bonn	none	Yes	Yes
Active Panel	Omy_118654-91	WDFW	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Yes
Active Panel	OMS00090	PBT	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	Omy_Il-1b_.028	PBT	Neutral	Young unpublished	none	none	Yes	Yes
Active Panel	Omy_RAD2976-26	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	OMS00179	PBT	Neutral	Sánchez et al. 2009	4th cluster in Yakima.Partially scored	none	Yes	Yes
Active Panel	Omy_ftzf1-217	WDFW	Neutral	DeKoning unpublished. WSU	none	none	Fixed	Fixed
Active Panel	OMS00053	PBT	Neutral	Sánchez et al. 2009	Minor 4th cluster in Bonn	none	Yes	Yes
Active Panel	Omy_cd59-206	PBT	Neutral	DeKoning unpublished. WSU	none	none	Yes	Yes
Active Panel	Omy_RAD33122-47	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	OMS00112	PBT	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	OMS00061	GSI	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	OMS00103	WDFW	Neutral	Sánchez et al. 2009	none	none	Yes	Failed QC
Active Panel	Omy_RAD55404-54	 	Adaptive. Minimum annual precipitation. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD4848-14	 	Adaptive. Air and water temperature. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD92485-64	 	Adaptive. Range of water temperature . Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD7016-31	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	OMS00071	PBT	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	OMS00114	GSI	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	Omy_101832-195	PBT	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Yes
Active Panel	Omy_RAD57916-29	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	OMS00118	PBT	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	Omy_tlr3-377	GSI	Neutral	DeKoning unpublished. WSU	none	none	Yes	Yes
Active Panel	Omy_sys1-188	GSI	Neutral	Narum et al. 2010	none	none	Yes	Yes
Active Panel	Omy_103705-558	GSI	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Yes
Active Panel	Omy_RAD88122-32	Omy269	Neutral	CRITFC unpublished	Minor 4th Cluster in Bonn	none	Yes	Yes
Active Panel	Omy_RAD42793-59	Omy269	Adaptive	Hess et al 2016, ProcB	none	none	Yes	Yes
Active Panel	Omy_RAD48799-69	Omy269	Neutral	CRITFC unpublished	Minor 4th Cluster in Bonn	none	Yes	Yes
Active Panel	Omy_RAD78502-57	 	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_BAMBI2.312	GSI	Neutral	Young unpublished	I don't trust the correction of 0 and 1.7. It make the plot look better but I'm not convinced it is correct. This locus probably needs further review and possibly should have been run at 1x instead of 2 x. 	none	Yes	Yes
Active Panel	Omy_RAD35005-13	 	Adaptive. Number of Damns passed. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Failed QC	Failed QC
Active Panel	Ocl_gshpx-357	GSI	Species. Cutthroat	Campbell et al. 2009	none	none	Fixed	Fixed
Active Panel	OMS00006	PBT	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	Omy_G3PD_2-371	GSI	Neutral	CRITFC unpublished	SPIKE to 1X-Optional	none	Yes	Yes
Active Panel	Omy_RAD3209-10	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_130524-160	PBT	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Yes
Active Panel	OMS00058	PBT	Neutral	Sánchez et al. 2009	Two Het clusters but both are appear to fit in the scoreable range	none	Yes	Yes
Active Panel	Omy_RAD78147-27	 	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	5 clusters in Interior. This probably should have been dropped	none	Yes	Yes
Active Panel	Omy_116938-264	WDFW	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Yes
Active Panel	Omy_112301-202	WDFW	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Yes
Active Panel	Omy_myclarp404-111	GSI	Species. Cutthroat	Campbell unpublished	none	none	Fixed	Fixed
Active Panel	Omy_BAMBI4.238	WDFW	Neutral	Young unpublished	none	none	Fixed	Fixed
Active Panel	OMS00039	PBT	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	Omy_RAD46314-35	 	Adaptive-Thermal Adaptation	Chen et al. 2018, MEC. Micheletti et al. 2018, MEC	none	none	Yes	Yes
Active Panel	Omy_RAD73204-63	Omy269	Adaptive	Hess et al 2016, ProcB	none	none	Yes	Yes
Active Panel	Omy_RAD5374-56	 	Adaptive. Minimum annual precipitation. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD88028-7	Omy269	Adaptive	Hess et al 2016, ProcB	none	none	Yes	Yes
Active Panel	Omy_RAD66402-36	 	Adaptive. Natal Site annual precipitation. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Spike to 1X Optional. This was corrected again after L1170	none	Yes	Yes
Active Panel	Omy_RAD18903-48	 	Adaptive-Thermal Adaptation	Chen et al. 2018, MEC. Micheletti et al. 2018, MEC	none	none	Fixed	Fixed
Active Panel	Omy_RAD66834-17	Omy269	Adaptive	Hess et al 2016, ProcB	none	none	Yes	Yes
Active Panel	Omy_116733-349	PBT	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Yes
Active Panel	Omy_star-206	GSI	Neutral	DeKoning unpublished. WSU	none	none	Yes	Yes
Active Panel	Omy_RAD7384-50	 	Adaptive-Thermal Adaptation	Chen et al. 2018, MEC. Micheletti et al. 2018, MEC	none	none	Fixed	Fixed
Active Panel	Omy_RAD78776-10	 	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, temperature-related; 	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_hsp47-86	GSI	Neutral	Campbell and Narum 2009	none	none	Yes	Yes
Active Panel	Omy_99300-202	PBT	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Yes
Active Panel	Omy_RAD24287-74	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD13034-67	 	Adaptive-Thermal Adaptation	Chen et al. 2018, MEC. Micheletti et al. 2018, MEC	none	none	Yes	Yes
Active Panel	Omy_RAD45104-18	Omy269	Neutral	CRITFC unpublished	none	none	Yes	Yes
Active Panel	Omy_sSOD-1	GSI	Neutral	Brunelli et al. 2008	none	none	Yes	Yes
Active Panel	Omy_RAD59758-41	 	Adaptive. Minimum annual precipitation. Basin-wide, precipitation-related; 	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD36952-53	 	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, temperature-related; 	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD65959-69	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD38406-19	MGILCS	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, temperature-related	Gen Assess BPA report 2017	none	none	Yes	Yes
Active Panel	Omy_RAD2567-8	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD23577-43	Omy269	Adaptive	Hess et al 2016, ProcB	none	none	Yes	Yes
Active Panel	Omy_RAD36848-7	Omy269	Neutral	CRITFC unpublished	This was corrected again after L1170	none	Failed QC	Yes
Active Panel	Omy_RAD116-59	 	Adaptive. Maximum air temperature (driest quarter). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Fixed	Fixed
Active Panel	Omy_arp-630	PBT	Neutral	Campbell et al. 2009	none	none	Yes	Yes
Active Panel	OMS00057	PBT	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	Omy_RAD9004-13	 	Adaptive. Mean air temperature (driest quarter). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Poor GT% in Interior Pops	none	Yes	Yes
Active Panel	Omy_GREB1_05	 	Adaptive. Run timing	Micheletti et al unpublished	none	not diagnostic	Yes	Yes
Active Panel	Omy_RAD10733-10	 	Adaptive. Air and water temperature. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_128693-455	WDFW	Neutral	Abadía-Cardoso et al. 2011	none	none	Yes	Yes
Active Panel	Omy_RAD55997-10	 	Adaptive. Range of heat load index. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	OMS00138	GSI	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	Omy_RAD52812-28	Omy269	Neutral	CRITFC unpublished	none	none	Yes	Yes
Active Panel	Omy_RAD86706-72	MGILCS	Adaptive. Mean slope. Basin-wide, elevation-related	Gen Assess BPA report 2017	none	none	Yes	Yes
Active Panel	Omy_bcAKala-380rd	PBT	Neutral	Narum et al. 2010	none	none	Yes	Yes
Active Panel	Omy_RAD72528-44	 	Adaptive. Range of annual air temperature. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_cd28-130	GSI	Neutral	DeKoning unpublished. WSU	Poor GT% in Coastal Pops. Corrected again after L1170	none	Yes	Yes
Active Panel	OMS00154	PBT	Neutral	Sánchez et al. 2009	none	none	Yes	Yes
Active Panel	Omy_RAD103359-45	 	Adaptive. Maximum Water Temperature. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Poor GT% in Coastal Pops	none	Yes	Failed QC
Active Panel	Omy_RAD59950-44	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD3651-48	 	Adaptive. Natal Site Diurnal Range. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD43612-42	Omy269	Neutral	CRITFC unpublished	none	none	Yes	Yes
Active Panel	Omy_RAD65808-68	 	Adaptive. Mean precipitation (driest quarter). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD79314-58	 	Adaptive-Thermal Adaptation	Chen et al. 2018, MEC. Micheletti et al. 2018, MEC	none	none	Yes	Fixed
Active Panel	Omy_RAD28236-38	MGILCS	Adaptive. Migration Distance to Ocean. Basin-wide, migration-related	Gen Assess BPA report 2017	none	none	Yes	Yes
Active Panel	Omy_RAD16104-20	Omy269	Adaptive	Hess et al 2016, ProcB	none	none	Yes	Yes
Active Panel	Omy_RAD1919-22	 	Adaptive. Maximum Water Temperature. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Fixed
Active Panel	Omy_RAD17849-16	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD33798-24	 	Adaptive. Minimum annual precipitation. Basin-wide, temperature-related; 	Micheletti et al 2018 Mol Ecol	This was corrected again after L1170	none	Yes	Yes
Active Panel	Omy_RAD22123-69	 	Adaptive. Migration Distance to Ocean. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD13073-16	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Failed QC
Active Panel	Omy_RAD619-59	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	none	none	Yes	Yes
Active Panel	Omy_RAD98715-53	 	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Tricky Correction Factor. I settled on 1.7. May still cause problems for interior. Corrected again after L1170	none	Yes	Yes
Active Panel	OmyR14589	Omy368 in 2019	Adaptive. Residency vs anadromy	Kathleen O Malley from Devon Pearse	none	none	Yes	Yes
Active Panel	OmyR19198	Omy368 in 2019	Adaptive. Residency vs anadromy	Kathleen O Malley from Devon Pearse	none	none	Yes	Yes
Active Panel	OmyR24370	Omy368 in 2019	Adaptive. Residency vs anadromy	Kathleen O Malley from Devon Pearse	none	none	Yes	Yes
Active Panel	OmyR33562	Omy368 in 2019	Adaptive. Residency vs anadromy	Kathleen O Malley from Devon Pearse	none	none	Yes	Yes
Active Panel	OmyR40252	Omy368 in 2019	Adaptive. Residency vs anadromy	Kathleen O Malley from Devon Pearse	Spike to 2X	none	Yes	Failed QC
Active Panel	OmyR40319	Omy368 in 2019	Adaptive. Residency vs anadromy	Kathleen O Malley from Devon Pearse	none	none	Yes	Failed QC
Dropped March 2019 after Omy374 review	Omy_RAD24343-29	MGILCS	Adaptive. Mean air temperature (wettest quarter). Basin-wide, temperature-related	Gen Assess BPA report 2017	Read Hog	none	Yes	Yes
Dropped March 2019 after Omy374 review	Omy_RAD25907-57	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Read Hog	none	Yes	Yes
Dropped March 2019 after Omy374 review	Omy_Il1b-198	PBT	Neutral	Young unpublished	Read Hog	none	Yes	Yes
Dropped March 2019 after Omy374 review	Omy_RAD31079-58	none	Adaptive. Maximum annual air temperature. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Read Hog	none	Failed QC	Yes
Dropped March 2019 after Omy374 review	Omy_RAD2277-7	none	Adaptive. Mean annual precipitation. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Low GT%	none	Yes	Failed QC
Dropped March 2019 after Omy365plus review	Omy_gsdf-291	WDFW	Neutral	DeKoning unpublished. WSU	Poor Reaction. Locus is not super informative	none	Yes	Failed QC
Dropped March 2019 after Omy365plus review	Omy_RAD74691-49	Omy269	Neutral	CRITFC unpublished	Read hog with ugly plot	none	Failed QC	Failed QC
Dropped February 2019 after Omy390 review	Omy_CRBF1-1	GSI	Neutral	Aguilar and Garza 2008	Drop	none	Failed QC	Failed QC
Dropped February 2019 after Omy390 review	Omy_u09-52.284	GSI	Neutral	Limborg et al. 2012	Drop. Read hog with poor GT%. Will keep cross-amplifying ndk-152	none	Yes	Failed QC
Dropped February 2019 after Omy390 review	Omy_aldB-165	PBT	Neutral	Campbell et al. 2009	Drop	none	Yes	Yes
Dropped February 2019 after Omy390 review	Omy_colla1-525	PBT	Neutral	DeKoning unpublished. WSU	Five clusters that are sometimes undifferenticated.	none	Yes	Yes
Dropped February 2019 after Omy390 review	Omy_RAD38269-10	Omy269	Neutral	CRITFC unpublished	Read hog with poor genotyping success and poor quality plots. Will keep cross-amplifying Omy_RAD13499-13	none	Yes	Yes
Dropped February 2019 after Omy390 review	Omy_RAD69583-33	Omy269	Neutral	CRITFC unpublished	Poor genotyping success and poor quality plots	none	Failed QC	Failed QC
Dropped February 2019 after Omy390 review	Omy_RAD66218-58	Omy269	Adaptive	CRITFC unpublished	Minor read hog and flagged as not useful by Jons power analysis	none	Yes	Yes
Dropped February 2019 after Omy390 review	Omy_RAD76882-63	Omy269	Adaptive	Hess et al 2016, ProcB	Flagged as not useful by Jons power analysis	none	Yes	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD10945-51	none	Adaptive. Mean isothermality. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Extra Clusters	none	Failed QC	Yes
Dropped February 2019 after Omy390 review	Omy_RAD29559-69	none	Adaptive. Geological Breaks. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD30230-25	none	Adaptive. Maxiumum air temperature (warmest quarter). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Extra Clusters	none	Yes	Yes
Dropped February 2019 after Omy390 review	Omy_RAD37492-53	none	Adaptive. Miniumum isothermality. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD45246-10	none	Adaptive. Realted to energy expenditure. Basin-wide, migration-related; 	Micheletti et al 2018 Mol Ecol	Very poor plots	none	Yes	Yes
Dropped February 2019 after Omy390 review	Omy_RAD49637-74	none	Adaptive. Natal site Isothermality. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD54441-29	none	Adaptive. Natal site slope. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD1751-18	MGILCS	Adaptive. Miniumum isothermality. Basin-wide, Immune related	Gen Assess BPA report 2017	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD9408-71	MGILCS	Adaptive. Number of stream orders crossed. Basin-wide, stream order - related	Gen Assess BPA report 2017	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD14269-30	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Double het cluster with poor GT%	none	Failed QC	Yes
Dropped February 2019 after Omy390 review	Omy_RAD14541-72	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Failed QC	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD23354-66	none	Adaptive. Maximum air temperature (driest quarter). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD25266-23	MGILCS	Adaptive. Natal site canopy cover. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD29352-6	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Large het cluster results in low GT%	none	Failed QC	Failed QC
Dropped February 2019 after Omy390 review	Omy_RAD30243-74	MGILCS	Adaptive. General topology (elevation and slope). Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Failed QC
Dropped February 2019 after Omy390 review	Omy_RAD49827-67	MGILCS	Adaptive. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Fixed	Fixed
Dropped February 2019 after Omy390 review	Omy_RAD43117-55	none	Adaptive. Maximum Water Temperature. Basin-wide, top-outlier	Micheletti et al 2018 Mol Ecol	Monomorphic at all CRITFC and IDFG populations currently genotyped	none	Failed QC	Failed QC
Dropped February 2019 after Omy390 review	Omy28_11702210	Omy390	Adaptive. Run Timing	Micheletti et al 2018 Mol Ecol	Read Hog with less than 1% On Target reads	missing data	Yes	Failed QC
